strategy,sparsity_pct,split,method,n_buildings,mae,rmse,bias,med_ae,p90_ae,pearson,spearman,mae_30m,mae_40m,rr_mean,rr_med
building_aware,5.0,val_cph,E_sparse_coarse,3369,5.736064008882986,7.0672995848083575,-4.212448534016643,5.210016250610352,10.36412181854248,0.7728413151016164,0.7454701996371484,17.10251067744361,25.717539359783306,-0.7039122831784045,-0.4411403748994772
random,0.01,test_ny,A_coarse,728,15.310683113348844,17.229816992821878,-14.076872021144071,16.376408576965332,24.311287879943848,0.8525406513603908,0.7861556473552086,19.39782981313005,20.781251880484568,0.0,0.0
random,0.01,test_ny,B_monocular,728,21.011705367181165,27.345655365243573,15.002603730064008,15.519070625305176,47.99007129669191,0.13607553843566203,0.028974297732292657,13.871470599271813,16.826632231054173,1.299508337226556,0.9680564247216579
random,0.01,test_ny,F1_nn,728,24.492191508184327,30.40083285454816,-19.628503171181766,30.282950401306152,40.28726997375489,0.12911244359646729,0.00874981532513825,30.412730066143737,31.25862207211239,-0.4137425308671149,-0.7462833221585514
random,0.01,test_ny,F2_linear,728,24.362090558223017,29.960610673335527,-18.803726146714045,29.27707590162754,40.036067199707034,0.1274714262696898,-0.009483248030165972,30.01356521118052,30.72143934457235,-0.37217003701979695,-0.7105256275045737
random,0.01,test_ny,F4_depth_affine,728,28.208309485527685,32.13616071948188,-25.739697020184146,36.91451490036941,40.27397636715095,0.07427718009551429,-0.20241303747960446,36.921581366560176,37.61070599944004,-0.922325239167631,-0.9450688156708534
random,0.01,test_ny,D_sparse_mono,728,28.208309485527685,32.13616071948188,-25.739697020184146,36.91451490036941,40.27397636715095,0.07427718009551429,-0.20241303747960446,36.921581366560176,37.61070599944004,-0.922325239167631,-0.9450688156708534
random,0.01,test_ny,E_sparse_coarse,728,21.686857395672373,24.367647491592823,-19.980860543058633,26.701783657073975,32.000218200683605,0.5865312007318552,0.5042305902236651,28.134099524240103,29.128675084718516,-0.4733874056568314,-0.4725351230845426
random,0.05,test_ny,A_coarse,728,15.310683113348844,17.229816992821878,-14.076872021144071,16.376408576965332,24.311287879943848,0.8525406513603908,0.7861556473552086,19.39782981313005,20.781251880484568,0.0,0.0
random,0.05,test_ny,B_monocular,728,21.011705367181165,27.345655365243573,15.002603730064008,15.519070625305176,47.99007129669191,0.13607553843566203,0.028974297732292657,13.871470599271813,16.826632231054173,1.299508337226556,0.9680564247216579
